path,speaker,emotion,text,index
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0011_000254.wav,0011,neutral,She laughed.,000254
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0011_000604.wav,0011,angry,She laughed.,000254
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0014_000278.wav,0014,neutral,I know you .,000278
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0014_000212.wav,0014,neutral,No thank you.,000212
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0014_000202.wav,0014,neutral,that sounds good.,000202
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0014_000098.wav,0014,neutral,Said the witch.,000098
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0012_000332.wav,0012,neutral,where are you going?,000332
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0012_000296.wav,0012,neutral,You woke me up!,000296
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0012_000236.wav,0012,neutral,How rash you are!,000236
/data/home/hys4qm/ste-optimized/data/esd-smoke-source/wav/0012_000047.wav,0012,neutral,please excuse me.,000047
